area,file,lat,lon,radius_km,Shops,Supermarkets,Markets,Mosques,Churches,Places of worship (other),Schools,Nurseries,Colleges,Hospitals,Clinics,Pharmacies,Banks,ATMs,Money transfer,Fuel stations,Restaurants & cafes,Bars,Police,Post offices,Fire stations,Ferry terminals,Bus & taxi ranks,Public water points,Government offices,Hotels & guesthouses,Sports grounds & gyms,Nature reserves,Libraries,Workshops
Bakau,bakau.html,13.4775,-16.6779,1,2,0,1,4,0,0,3,0,0,0,0,0,2,0,0,1,2,0,0,0,0,0,0,0,0,3,6,0,0,0
Bakau,bakau.html,13.4775,-16.6779,2,19,5,1,6,2,0,15,1,3,2,2,0,4,3,0,3,25,1,1,0,0,0,1,0,8,11,20,0,0,0
Bakau,bakau.html,13.4775,-16.6779,3,36,6,1,8,2,0,29,1,6,4,2,1,9,3,2,6,39,1,1,1,0,0,3,0,14,17,32,0,2,1
Bakau,bakau.html,13.4775,-16.6779,5,53,10,3,12,7,0,39,1,7,5,2,2,17,6,3,16,51,5,3,2,2,0,12,0,15,71,50,0,2,2
Bakoteh,bakoteh.html,13.4334,-16.6985,1,2,0,1,1,2,0,4,0,0,0,0,0,2,0,0,1,0,2,0,0,0,0,3,0,0,0,5,0,0,0
Bakoteh,bakoteh.html,13.4334,-16.6985,2,5,1,3,3,3,0,9,0,0,1,0,0,2,0,1,4,6,2,1,0,0,0,5,0,0,41,11,0,0,0
Bakoteh,bakoteh.html,13.4334,-16.6985,3,56,11,5,11,5,0,20,0,2,6,0,2,11,6,3,12,82,16,3,1,2,0,12,0,0,70,36,0,1,2
Bakoteh,bakoteh.html,13.4334,-16.6985,5,152,19,12,33,7,0,49,1,9,16,4,10,23,11,11,27,129,22,8,2,2,0,24,0,15,110,79,1,2,2
Banjul,banjul.html,13.4554,-16.5757,1,0,0,2,3,3,1,5,0,0,1,0,0,5,1,1,0,7,1,0,1,1,0,1,0,10,5,7,0,0,3
Banjul,banjul.html,13.4554,-16.5757,2,2,0,3,4,3,1,8,0,1,2,0,0,5,1,1,1,10,1,0,1,1,1,2,0,11,5,9,1,1,4
